url_path,views_total,views_unique
/Significant-Gravitas/AutoGPT,17691,11931
/significant-gravitas/autogpt,3098,2542
/Significant-Gravitas/AutoGPT/issues,744,372
/Significant-Gravitas/AutoGPT/pulls,576,224
/Significant-Gravitas/AutoGPT/blob/master/classic/FORGE-QUICKSTART.md,490,372
/Significant-Gravitas/AutoGPT/releases,389,269
/Significant-Gravitas/AutoGPT/tree/master/.agents,349,301
/Significant-Gravitas/AutoGPT/tree/master/autogpt_platform,326,287
/Significant-Gravitas/AutoGPT/releases/tag/autogpt-platform-beta-v0.6.57,271,212
/Significant-Gravitas/AutoGPT/tree/master/.claude,269,239
